number of records,AVERAGE of bmc,Standard Error BMC,AVERAGE of bax,Standard Error BAX
1,942305.23,33842.31037,904159.34,45032.06207
10,875036.5,30136.67895,934404.04,28277.9275
100,927961.42,18204.23315,923673.3,28746.54677
1000,909680.56,18145.51826,925476.03,24431.38973
10000,888302.98,28770.88269,944876.73,18979.58136
100000,877441.01,15158.5716,914399.78,47178.8089
250000,836595.8,6293.174786,895462.97,33243.96425
500000,813032.79,3396.136969,885505.54,25306.69999
750000,777977.54,1005.650193,879471.04,25648.80368
1000000,726880.88,17766.82664,860848.53,9202.146145

