count of records,AVERAGE of bmc,Standard Error,AVERAGE of bax,Calculated Field 1
1,1009900.84,16016.93,978874.14,14419.29
10,937099.23,23107.21,955606.47,24171.80
100,975785.15,21426.72,955993.39,30013.13
1000,959002.59,25257.85,969838.80,14984.07
10000,954444.94,23845.15,971576.47,20167.30
100000,873114.88,10882.04,970155.28,13770.37
250000,849434.32,1894.78,940932.54,23097.30
500000,803645.56,4568.86,934128.66,11631.86
750000,772752.39,1989.58,905876.63,8627.41
1000000,746431.52,2240.21,872172.98,2515.19
